,FISCAL_YEAR,FISCAL_PERIOD,DEPT_NAME,DIV_NAME,MERCHANT,CAT_DESCR,TRANS_DT,MERCHANDISE_AMT
13584,2019,12,DEPT OF EDUCATION,Office of the Secretary,VZWRLSS*IVR VB,Telecom Incl Prepaid-Recurring Phone Svcs,6/6/2019,280.07
13585,2019,12,DEPT OF EDUCATION,Office of the Secretary,FASTENAL COMPANY 01DEDOV,Industrial Supplies Not Elsewhere Classified,6/21/2019,1795.0
13586,2019,12,DEPT OF EDUCATION,Office of the Secretary,DT#19107,Eating Places Restaurants,6/18/2019,11.61
13587,2019,12,DEPT OF EDUCATION,Office of the Secretary,TRID1067026,Computer Software Stores,6/26/2019,12.0
13588,2019,12,DEPT OF EDUCATION,Academic Support,TECHNOLOGY STUDENT ASSOC,Organizations Membership-Not Elsewhere Classified,5/31/2019,100.0
13589,2019,12,DEPT OF EDUCATION,Academic Support,FOOD LION #1385,Grocery Stores Supermarkets,6/3/2019,2.97
13590,2019,12,DEPT OF EDUCATION,Academic Support,AMERICAN AIR0010262265594,Airline,6/3/2019,30.0
13591,2019,12,DEPT OF EDUCATION,Academic Support,PAT'S PIZZERIA,Eating Places Restaurants,6/3/2019,85.93
13592,2019,12,DEPT OF EDUCATION,Academic Support,INTAC INC,Direct Marketing-Other Direct Marketers-Not Elsew,6/7/2019,688.8
13593,2019,12,DEPT OF EDUCATION,Academic Support,IN *E GROUP,Business Services-Not Elsewhere Classified,6/7/2019,1682.66
13594,2019,12,DEPT OF EDUCATION,Academic Support,SOUTHWES 5262487336153,Airline,6/13/2019,688.6
13595,2019,12,DEPT OF EDUCATION,Academic Support,UW MADISON WISC UNION,Colleges Univ Pro Schools Junior Colleges,6/5/2019,6.01
13596,2019,12,DEPT OF EDUCATION,Academic Support,CONCOURSE HOTEL,Lodging,6/6/2019,366.0
13597,2019,12,DEPT OF EDUCATION,Academic Support,UW MADISON WISC UNION,Colleges Univ Pro Schools Junior Colleges,6/5/2019,10.34
13598,2019,12,DEPT OF EDUCATION,Academic Support,MADISON 0505A,News Dealers And Newsstands,6/6/2019,6.28
13599,2019,12,DEPT OF EDUCATION,Academic Support,INTAC INC,Direct Marketing-Other Direct Marketers-Not Elsew,6/7/2019,24.01
13600,2019,12,DEPT OF EDUCATION,Academic Support,PPA PHL AIRPORT,Automobile Parking Lots And Garages,6/6/2019,44.0
13601,2019,12,DEPT OF EDUCATION,Academic Support,CHICK-FIL-A #01665,Fast Food Restaurants,6/6/2019,8.05
13602,2019,12,DEPT OF EDUCATION,Academic Support,AMERICAN AIR0010262513419,Airline,6/6/2019,30.0
13603,2019,12,DEPT OF EDUCATION,Student Support,QUALITY LOGO PRODUCTS,Miscellaneous And Specialty Retail Stores,6/5/2019,189.3
13604,2019,12,DEPT OF EDUCATION,Student Support,QUALITY LOGO PRODUCTS,Miscellaneous And Specialty Retail Stores,6/5/2019,213.3
13605,2019,12,DEPT OF EDUCATION,Student Support,QUALITY LOGO PRODUCTS,Miscellaneous And Specialty Retail Stores,6/5/2019,175.3
13606,2019,12,DEPT OF EDUCATION,Student Support,QUALITY LOGO PRODUCTS,Miscellaneous And Specialty Retail Stores,6/5/2019,175.3
13607,2019,12,DEPT OF EDUCATION,Student Support,SOUTHWES 5262483998135,Airline,6/5/2019,267.96
13608,2019,12,DEPT OF EDUCATION,Student Support,SOUTHWES 5262483998134,Airline,6/5/2019,267.96
13609,2019,12,DEPT OF EDUCATION,Student Support,SOUTHWES 5262483998133,Airline,6/5/2019,267.96
13610,2019,12,DEPT OF EDUCATION,Student Support,SOUTHWES 5262483998132,Airline,6/5/2019,267.96
13611,2019,12,DEPT OF EDUCATION,Student Support,SOUTHWES 5262483998131,Airline,6/5/2019,267.96
13612,2019,12,DEPT OF EDUCATION,Student Support,SOUTHWES 5262483998130,Airline,6/5/2019,267.96
13613,2019,12,DEPT OF EDUCATION,Student Support,SOUTHWES 5262483998129,Airline,6/5/2019,267.96
13614,2019,12,DEPT OF EDUCATION,Student Support,SOUTHWES 5262484376823,Airline,6/6/2019,287.96
13615,2019,12,DEPT OF EDUCATION,Student Support,DE PROFESSIONAL REG WEB,Government Services-Not Elsewhere Classified,5/28/2019,209.0
13616,2019,12,DEPT OF EDUCATION,Educator Support,HILTON PROSPECTS REST,Eating Places Restaurants,6/3/2019,31.67
13617,2019,12,DEPT OF EDUCATION,Educator Support,BLUE AGAVE GRILL - LODO D,Eating Places Restaurants,6/1/2019,35.38
13618,2019,12,DEPT OF EDUCATION,Educator Support,APPALOOSA GRILL LLC,Eating Places Restaurants,6/4/2019,33.16
13619,2019,12,DEPT OF EDUCATION,Educator Support,THEPARKINGSPOT-270RC,Automobile Parking Lots And Garages,6/5/2019,57.6
13620,2019,12,DEPT OF EDUCATION,Educator Support,USPS PO 0917600901,Postal Services-Government Only,6/6/2019,13.7
13621,2019,12,DEPT OF EDUCATION,Educator Support,WAWA 569 00005694,Service Stations With Or Without Ancillary Service,6/5/2019,13.41
13622,2019,12,DEPT OF EDUCATION,Educator Support,WAWA 569 00005694,Service Stations With Or Without Ancillary Service,6/5/2019,14.45
13623,2019,12,DEPT OF EDUCATION,Educator Support,USPS PO 0917600901,Postal Services-Government Only,6/11/2019,6.85
13624,2019,12,DEPT OF EDUCATION,Educator Support,UNITED 0161512194090,Airline,6/5/2019,30.0
13625,2019,12,DEPT OF EDUCATION,Educator Support,HILTON HOTELS,Lodging,6/5/2019,838.04
13626,2019,12,DEPT OF EDUCATION,Educator Support,SQ *ALL CITIES TAXI,Travel,5/31/2019,32.2
13627,2019,12,DEPT OF EDUCATION,Educator Support,SQ *ALL CITIES TAXI,Travel,5/31/2019,32.2
13628,2019,12,DEPT OF EDUCATION,Educator Support,GIORDANO'S OF LODO,Eating Places Restaurants,6/1/2019,14.87
13629,2019,12,DEPT OF EDUCATION,Educator Support,NATURE'S KITCHEN,Fast Food Restaurants,5/31/2019,17.66
13630,2019,12,DEPT OF EDUCATION,Educator Support,HILTON PROSPECTS REST,Eating Places Restaurants,6/3/2019,27.67
13631,2019,12,DEPT OF EDUCATION,Educator Support,SQ *MOE'S BROADWAY BAGEL,Eating Places Restaurants,6/1/2019,6.53
13632,2019,12,DEPT OF EDUCATION,Educator Support,UNITED 0161512194060,Airline,6/5/2019,30.0
13633,2019,12,DEPT OF EDUCATION,Educator Support,HILTON HOTELS,Lodging,6/5/2019,838.04
13634,2019,12,DEPT OF EDUCATION,Educator Support,APPALOOSA GRILL LLC,Eating Places Restaurants,6/4/2019,35.0
13635,2019,12,DEPT OF EDUCATION,Educator Support,GIORDANO'S OF LODO,Eating Places Restaurants,6/1/2019,13.97
13636,2019,12,DEPT OF EDUCATION,Educator Support,BLUE AGAVE GRILL - LODO D,Eating Places Restaurants,6/1/2019,47.28
13637,2019,12,DEPT OF EDUCATION,Educator Support,APPALOOSA GRILL LLC,Eating Places Restaurants,5/31/2019,35.67
13638,2019,12,DEPT OF EDUCATION,Educator Support,MAGGIANOS DWNTWN DENVER,Eating Places Restaurants,6/2/2019,27.66
13639,2019,12,DEPT OF EDUCATION,Educator Support,SQ *MOE'S BROADWAY BAGEL,Eating Places Restaurants,6/1/2019,9.31
13640,2019,12,DEPT OF EDUCATION,Educator Support,UNITED 0161511279905,Airline,5/31/2019,30.0
13641,2019,12,DEPT OF EDUCATION,Educator Support,MAGGIANOS DWNTWN DENVER,Eating Places Restaurants,6/2/2019,24.92
13642,2019,12,DEPT OF EDUCATION,Educator Support,APPALOOSA GRILL LLC,Eating Places Restaurants,5/31/2019,43.05
13643,2019,12,DEPT OF EDUCATION,Educator Support,XEROX CORPORATION/RBO,Office Photographic Photocopy Microfilm Equipmt,6/13/2019,263.66
13644,2019,12,DEPT OF EDUCATION,Operations Support,SCREENCLOUD,Comp Programing Data Prcsng Intgrtd Sys Dsgn Srvs,6/20/2019,30.0
13645,2019,12,DEPT OF EDUCATION,Operations Support,SOUTHWES 5262486704677,Airline,6/12/2019,688.6
13646,2019,12,DEPT OF EDUCATION,Operations Support,INTERNATIONAL TRANSACTION,Internal Transaction,6/7/2019,16.45
13647,2019,12,DEPT OF EDUCATION,Operations Support,OCTOPUS DEPLOY,Computer Software Stores,6/7/2019,1096.67
13648,2019,12,DEPT OF EDUCATION,Operations Support,INTAC INC,Direct Marketing-Other Direct Marketers-Not Elsew,6/14/2019,83.88
13649,2019,12,DEPT OF EDUCATION,Operations Support,STK*SHUTTERSTOCK,Commercial Art Graphics Photography,6/9/2019,35.0
13650,2019,12,DEPT OF EDUCATION,Operations Support,PARK AND JET,Automobile Parking Lots And Garages,6/6/2019,26.3
13651,2019,12,DEPT OF EDUCATION,Operations Support,AMERICAN AIR0012357620945,Airline,5/31/2019,405.6
13652,2019,12,DEPT OF EDUCATION,Operations Support,SMASH BURGER B,Eating Places Restaurants,6/6/2019,23.52
13653,2019,12,DEPT OF EDUCATION,Operations Support,UNITED 0161512193814,Airline,6/5/2019,30.0
13654,2019,12,DEPT OF EDUCATION,Operations Support,HILTON HOTELS,Lodging,6/5/2019,628.53
13655,2019,12,DEPT OF EDUCATION,Operations Support,STAPLS0175212230000001,Stationery-Office Supplies-Printing Writing Pap,6/4/2019,237.45
13656,2019,12,DEPT OF EDUCATION,Operations Support,INTAC INC,Direct Marketing-Other Direct Marketers-Not Elsew,6/14/2019,8.0
13657,2019,12,DEPT OF EDUCATION,Operations Support,WB MASON,Stationery-Office Supplies-Printing Writing Pap,6/4/2019,96.48
13658,2019,12,DEPT OF EDUCATION,Operations Support,STAPLS0175211933000001,Stationery-Office Supplies-Printing Writing Pap,6/1/2019,153.43
13659,2019,12,DEPT OF EDUCATION,Operations Support,WB MASON,Stationery-Office Supplies-Printing Writing Pap,5/30/2019,241.2
13660,2019,12,DEPT OF EDUCATION,Operations Support,UNITED 0161511377302,Airline,6/1/2019,30.0
13661,2019,12,DEPT OF EDUCATION,Operations Support,INTERNATIONAL TRANSACTION,Internal Transaction,6/20/2019,0.45
13662,2019,12,DEPT OF EDUCATION,Operations Support,EB 17TH ANNUAL POLICY,Business Services-Not Elsewhere Classified,5/29/2019,225.0
13663,2019,12,DEPT OF EDUCATION,Office of Early Learning,LA MADELEINE,Eating Places Restaurants,6/1/2019,5.51
13664,2019,12,DEPT OF EDUCATION,Office of Early Learning,VZWRLSS*IVR VB,Telecom Incl Prepaid-Recurring Phone Svcs,6/6/2019,40.01
13665,2019,12,DEPT OF EDUCATION,Office of Early Learning,TEQUILA JACK'S,Eating Places Restaurants,6/1/2019,18.89
13666,2019,12,DEPT OF EDUCATION,Office of Early Learning,WALKTHROUGH MARKET B,Eating Places Restaurants,6/2/2019,11.98
13667,2019,12,DEPT OF EDUCATION,Office of Early Learning,ISLANDS RESTAURANT 04,Eating Places Restaurants,6/2/2019,15.3
13668,2019,12,DEPT OF EDUCATION,Office of Early Learning,Q SMOKEHOUSE,Eating Places Restaurants,6/2/2019,42.96
13669,2019,12,DEPT OF EDUCATION,Office of Early Learning,BO BEAU KITCHEN ROOFTO,Eating Places Restaurants,6/4/2019,20.2
13670,2019,12,DEPT OF EDUCATION,Office of Early Learning,CREME LONG BEACH LLC,Eating Places Restaurants,6/4/2019,25.45
13671,2019,12,DEPT OF EDUCATION,Office of Early Learning,GEORGES GREEK CAFE PINE,Eating Places Restaurants,6/3/2019,23.38
13672,2019,12,DEPT OF EDUCATION,Office of Early Learning,STARBUCKS STORE 27432,Fast Food Restaurants,6/3/2019,5.95
13673,2019,12,DEPT OF EDUCATION,Office of Early Learning,DELTA AIR 0060152845376,Airline,6/5/2019,10.99
13674,2019,12,DEPT OF EDUCATION,Office of Early Learning,DELTA AIR BAGGAGE FEE,Airline,6/5/2019,30.0
13675,2019,12,DEPT OF EDUCATION,Office of Early Learning,STARBUCKS STORE 27432,Fast Food Restaurants,6/2/2019,3.75
13676,2019,12,DEPT OF EDUCATION,Office of Early Learning,0960-LB BUSINESS JOURN,News Dealers And Newsstands,6/5/2019,4.49
13677,2019,12,DEPT OF EDUCATION,Office of Early Learning,LONG BEACH 0962PC1,Eating Places Restaurants,6/5/2019,16.19
13678,2019,12,DEPT OF EDUCATION,Office of Early Learning,PPA PHL AIRPORT,Automobile Parking Lots And Garages,6/6/2019,55.0
13679,2019,12,DEPT OF EDUCATION,Office of Early Learning,PINKBERRY - 112,Eating Places Restaurants,6/5/2019,5.88
13680,2019,12,DEPT OF EDUCATION,Office of Early Learning,WESTIN LONG BEACH HOTEL,Lodging,6/6/2019,1055.2
13681,2019,12,DEPT OF EDUCATION,Office of Early Learning,AMERICAN AIR0010262045385,Airline,6/1/2019,30.0
13682,2019,12,DEPT OF EDUCATION,State Board of Education,STAPLS0175349525000002,Stationery-Office Supplies-Printing Writing Pap,6/7/2019,96.13
13683,2019,12,DEPT OF EDUCATION,Other Items,STAPLS0175371781000002,Stationery-Office Supplies-Printing Writing Pap,6/8/2019,176.2
13684,2019,12,DEPT OF EDUCATION,Other Items,PIZZA KING,Eating Places Restaurants,6/21/2019,125.5
13685,2019,12,DEPT OF EDUCATION,Other Items,PCNAMETAG INC PCNAMETAG,Office School Supply And Stationery Stores,6/5/2019,48.74
13686,2019,12,DEPT OF EDUCATION,Other Items,UPS*ADJ00159559992291,Courier Svc-Air Ground Freight Forwarders,6/2/2019,3.33
13687,2019,12,DEPT OF EDUCATION,Other Items,RWM EMBROIDERY And MORE,Other Services Not Elsewhere Classified,6/5/2019,2475.0
13688,2019,12,DEPT OF EDUCATION,Other Items,MARRIOTT ORLANDO WC F And,Lodging,6/24/2019,14.78
13689,2019,12,DEPT OF EDUCATION,Other Items,EASTERN LIFT TRUCK,Commercial Equipment Not Elsewhere Classified,5/28/2019,110.0
13690,2019,12,DEPT OF EDUCATION,Other Items,CLARK SEEDS,Lawn And Garden Supply Stores,5/28/2019,4052.3
13691,2019,12,DEPT OF EDUCATION,Other Items,MARRIOTT ORLANDO WC F And,Lodging,6/25/2019,18.11
13692,2019,12,DEPT OF EDUCATION,Other Items,UPS*1Z21X9560490441686,Courier Svc-Air Ground Freight Forwarders,5/31/2019,31.4
13693,2019,12,DEPT OF EDUCATION,Other Items,PAYPAL *THISISLANG,Schools Elementary And Secondary,6/5/2019,38000.0
13694,2019,12,DEPT OF EDUCATION,Other Items,INTERNATIONAL TRANSACTION,Internal Transaction,6/5/2019,570.0
13695,2019,12,DEPT OF EDUCATION,Other Items,UPS*1Z21X9560193797696,Courier Svc-Air Ground Freight Forwarders,5/31/2019,6.28
13696,2019,12,DEPT OF EDUCATION,Other Items,ESEANETWORK.ORG,Organizations Membership-Not Elsewhere Classified,6/4/2019,539.0
13697,2019,12,DEPT OF EDUCATION,Other Items,STAPLS0175371781000001,Stationery-Office Supplies-Printing Writing Pap,6/8/2019,842.07
13698,2019,12,DEPT OF EDUCATION,Education Block Grants,MARRIOTT WARDMAN PK F And,Lodging,6/24/2019,11.0
13699,2019,12,DEPT OF EDUCATION,Education Block Grants,CRACKER BARREL #608 STEVE,Eating Places Restaurants,6/25/2019,11.75
13700,2019,12,DEPT OF EDUCATION,Education Block Grants,STAPLS0175393105000001,Stationery-Office Supplies-Printing Writing Pap,6/8/2019,585.67
13701,2019,12,DEPT OF EDUCATION,Education Block Grants,METRO 007-WDLY PARK-ZOO,Travel,6/24/2019,17.0
13702,2019,12,DEPT OF EDUCATION,Education Block Grants,USPS PO 0917600901,Postal Services-Government Only,5/29/2019,20.55
13703,2019,12,DEPT OF EDUCATION,Education Block Grants,REI*GREENWOODHEINEMANN,Book Stores,6/6/2019,3588.2
13704,2019,12,DEPT OF EDUCATION,Education Block Grants,STAPLS0175305815000001,Stationery-Office Supplies-Printing Writing Pap,6/6/2019,19.96
13705,2019,12,DEPT OF EDUCATION,Education Block Grants,LILLIES RESTAURANT BAR,Eating Places Restaurants,6/25/2019,20.6
13706,2019,12,DEPT OF EDUCATION,Education Block Grants,REPROGRAPHICS CENTER INC,Miscellaneous And Specialty Retail Stores,5/31/2019,195.81
13707,2019,12,DEPT OF EDUCATION,Education Block Grants,MARRIOTT WARDMAN PARK,Lodging,6/26/2019,572.45
13708,2019,12,DEPT OF EDUCATION,Education Block Grants,MARRIOTT WARDMAN PK F And,Lodging,6/25/2019,8.8
13709,2019,12,DEPT OF EDUCATION,Education Block Grants,MARRIOTT WARDMAN PARK,Lodging,6/26/2019,572.45
13710,2019,12,DEPT OF EDUCATION,Education Block Grants,REI*GREENWOODHEINEMANN,Book Stores,6/6/2019,322.94
13711,2019,12,DEPT OF EDUCATION,Education Block Grants,VZWRLSS*IVR VB,Telecom Incl Prepaid-Recurring Phone Svcs,6/6/2019,526.13
13712,2019,12,DEPT OF EDUCATION,Education Block Grants,LILLIES RESTAURANT BAR,Eating Places Restaurants,6/25/2019,30.8
13713,2019,12,DEPT OF EDUCATION,Education Block Grants,METRO 068-NEW CARROLLTON,Travel,6/23/2019,17.0
13714,2019,12,DEPT OF EDUCATION,Education Block Grants,EB 17TH ANNUAL POLICY,Business Services-Not Elsewhere Classified,6/12/2019,114.0
13715,2019,12,DEPT OF EDUCATION,Education Block Grants,MARRIOTT WARDMAN PK F And,Lodging,6/24/2019,23.1
13716,2019,12,DEPT OF EDUCATION,Education Block Grants,CRACKER BARREL #608 STEVE,Eating Places Restaurants,6/25/2019,16.0
13717,2019,12,DEPT OF EDUCATION,Education Block Grants,SAGE PUBLICATIONS,News Dealers And Newsstands,6/4/2019,148.95
13718,2019,12,DEPT OF EDUCATION,Education Block Grants,REV AUTH PGC NC GARAGE,Automobile Parking Lots And Garages,6/25/2019,14.0
13719,2019,12,DEPT OF EDUCATION,Education Block Grants,CRACKER BARREL #608 STEVE,Eating Places Restaurants,6/25/2019,23.1
13720,2019,12,DEPT OF EDUCATION,Education Block Grants,BARNES And NOBLE 2366,Book Stores,6/18/2019,1262.38
13721,2019,12,DEPT OF EDUCATION,Education Block Grants,MARRIOTT WARDMAN PK F And,Lodging,6/25/2019,4.4
13722,2019,12,DEPT OF EDUCATION,Education Block Grants,MARRIOTT WARDMAN PARK,Lodging,6/26/2019,572.45
13723,2019,12,DEPT OF EDUCATION,Education Block Grants,METRO 068-NEW CARROLLTON,Travel,6/23/2019,15.0
13724,2019,12,DEPT OF EDUCATION,Education Block Grants,SAGE PUBLICATIONS,News Dealers And Newsstands,6/4/2019,5758.8
13725,2019,12,DEPT OF EDUCATION,Education Block Grants,STAPLS0175305815000002,Stationery-Office Supplies-Printing Writing Pap,6/6/2019,583.5
13726,2019,12,DEPT OF EDUCATION,Education Block Grants,TST* FEDERALIST PIG,Eating Places Restaurants,6/24/2019,29.1
13727,2019,12,DEPT OF EDUCATION,Education Block Grants,LILLIES RESTAURANT BAR,Eating Places Restaurants,6/25/2019,52.0
13728,2019,12,DEPT OF EDUCATION,E Education Block Grants,PPA PHL AIRPORT,Automobile Parking Lots And Garages,6/13/2019,44.0
13729,2019,12,DEPT OF EDUCATION,E Education Block Grants,QUALITY LOGO PRODUCTS,Miscellaneous And Specialty Retail Stores,6/5/2019,154.0
13730,2019,12,DEPT OF EDUCATION,E Education Block Grants,WB MASON,Stationery-Office Supplies-Printing Writing Pap,6/6/2019,128.35
13731,2019,12,DEPT OF EDUCATION,E Education Block Grants,WB MASON,Stationery-Office Supplies-Printing Writing Pap,6/7/2019,144.72
13732,2019,12,DEPT OF EDUCATION,E Education Block Grants,MSN MAD CITY,Eating Places Restaurants,6/13/2019,27.03
13733,2019,12,DEPT OF EDUCATION,E Education Block Grants,AMERICAN AIR0010263327377,Airline,6/13/2019,30.0
13734,2019,12,DEPT OF EDUCATION,E Education Block Grants,CONCOURSE HOTEL,Lodging,6/13/2019,550.95
13735,2019,12,DEPT OF EDUCATION,E Education Block Grants,BOSTON TRANSPORTATION GRO,Travel,6/25/2019,34.2
13736,2019,12,DEPT OF EDUCATION,E Education Block Grants,IANS PIZZA ON STATE,Eating Places Restaurants,6/10/2019,14.5
13737,2019,12,DEPT OF EDUCATION,E Education Block Grants,STAPLS0175738157000001,Stationery-Office Supplies-Printing Writing Pap,6/25/2019,190.94
13738,2019,12,DEPT OF EDUCATION,E Education Block Grants,SOUTHERN REGIONAL EDUCBD,Associations-Civic Social And Fraternal,6/27/2019,300.0
13739,2019,12,DEPT OF EDUCATION,E Education Block Grants,AUNTIE ANNE'S #PA 331,Fast Food Restaurants,6/26/2019,7.25
13740,2019,12,DEPT OF EDUCATION,E Education Block Grants,OFFICEMAX/OFFICEDEPT#6871,Direct Marketing-Combination Catalog-Retail Merch,6/19/2019,-0.74
13741,2019,12,DEPT OF EDUCATION,E Education Block Grants,NSC*NORTHERN SAFETY CO,Direct Marketing-Other Direct Marketers-Not Elsew,6/20/2019,48.63
13742,2019,12,DEPT OF EDUCATION,E Education Block Grants,EXPRESSPARK NORTH,Automobile Parking Lots And Garages,6/26/2019,9.77
13743,2019,12,DEPT OF EDUCATION,E Education Block Grants,PHILLY AIR AUBONPAIN 2,Fast Food Restaurants,6/10/2019,8.08
13744,2019,12,DEPT OF EDUCATION,E Education Block Grants,AMERICAN AIR0010262998953,Airline,6/10/2019,30.0
13745,2019,12,DEPT OF EDUCATION,E Education Block Grants,TC *STATIONERY HOUSE,Stationery-Office Supplies-Printing Writing Pap,6/18/2019,95.46
13746,2019,12,DEPT OF EDUCATION,E Education Block Grants,TC *STATIONERY HOUSE,Stationery-Office Supplies-Printing Writing Pap,6/13/2019,127.28
13747,2019,12,DEPT OF EDUCATION,E Education Block Grants,OFFICEMAX/OFFICEDEPT#6871,Direct Marketing-Combination Catalog-Retail Merch,5/29/2019,7.49
13748,2019,12,DEPT OF EDUCATION,E Education Block Grants,DELTA AIR 0062373039319,Airline,5/31/2019,418.0
13749,2019,12,DEPT OF EDUCATION,E Education Block Grants,PP*SPACE CAMP,Organizations Charitable And Social Services,6/3/2019,949.0
13750,2019,12,DEPT OF EDUCATION,E Education Block Grants,STAPLS0175097735000001,Stationery-Office Supplies-Printing Writing Pap,5/29/2019,74.81
13751,2019,12,DEPT OF EDUCATION,E Education Block Grants,STAPLS0175097732000001,Stationery-Office Supplies-Printing Writing Pap,5/29/2019,27.2
13752,2019,12,DEPT OF EDUCATION,E Education Block Grants,NAEYC CAREER CENTER,Business Services-Not Elsewhere Classified,5/28/2019,225.0
13753,2019,12,DEPT OF EDUCATION,E Education Block Grants,STAPLS0175275076000001,Stationery-Office Supplies-Printing Writing Pap,6/5/2019,34.08
13754,2019,12,DEPT OF EDUCATION,E Education Block Grants,EB 17TH ANNUAL POLICY,Business Services-Not Elsewhere Classified,5/29/2019,325.0
13755,2019,12,DEPT OF EDUCATION,E Education Block Grants,IANS PIZZA ON STATE,Eating Places Restaurants,6/11/2019,14.5
13756,2019,12,DEPT OF EDUCATION,Special Needs Programs,DELTA AIR 0060152245517,Airline,6/5/2019,10.99
13757,2019,12,DEPT OF EDUCATION,Special Needs Programs,CREME LONG BEACH LLC,Eating Places Restaurants,6/4/2019,24.73
13758,2019,12,DEPT OF EDUCATION,Special Needs Programs,SAMSCLUB #6330,Wholesale Clubs,5/31/2019,275.67
13759,2019,12,DEPT OF EDUCATION,Special Needs Programs,GRAINGER,Industrial Supplies Not Elsewhere Classified,5/30/2019,637.6
13760,2019,12,DEPT OF EDUCATION,Special Needs Programs,AWL*PEARSON EDUCATION,Schools Educational Svc-Not Elsewhere Classified,6/9/2019,472.44
13761,2019,12,DEPT OF EDUCATION,Special Needs Programs,THE WEBSTAURANT STORE,Commercial Equipment Not Elsewhere Classified,6/19/2019,419.32
13762,2019,12,DEPT OF EDUCATION,Special Needs Programs,STARBUCKS STORE 27432,Fast Food Restaurants,6/2/2019,9.7
13763,2019,12,DEPT OF EDUCATION,Special Needs Programs,IN *PAXEN PUBLISHING LLC,Business Services-Not Elsewhere Classified,6/4/2019,4191.95
13764,2019,12,DEPT OF EDUCATION,Special Needs Programs,THE WEBSTAURANT STORE,Commercial Equipment Not Elsewhere Classified,6/19/2019,-6.52
13765,2019,12,DEPT OF EDUCATION,Special Needs Programs,CHICK FIL A - 107,Eating Places Restaurants,6/5/2019,4.84
13766,2019,12,DEPT OF EDUCATION,Special Needs Programs,LONG BEACH 0962PC1,Eating Places Restaurants,6/5/2019,16.19
13767,2019,12,DEPT OF EDUCATION,Special Needs Programs,WESTIN LONG BEACH HOTEL,Lodging,6/6/2019,1055.2
13768,2019,12,DEPT OF EDUCATION,Special Needs Programs,REDNERS MKTS #57,Grocery Stores Supermarkets,6/10/2019,19.74
13769,2019,12,DEPT OF EDUCATION,Special Needs Programs,DELTA AIR BAGGAGE FEE,Airline,6/5/2019,30.0
13770,2019,12,DEPT OF EDUCATION,Special Needs Programs,RESTAURANT DEPOT,Grocery Stores Supermarkets,6/17/2019,197.07
13771,2019,12,DEPT OF EDUCATION,Special Needs Programs,NCS*GED EXAM,Schools Educational Svc-Not Elsewhere Classified,6/4/2019,1920.0
13772,2019,12,DEPT OF EDUCATION,Special Needs Programs,REDNERS MKTS #57,Grocery Stores Supermarkets,5/27/2019,33.67
13773,2019,12,DEPT OF EDUCATION,Special Needs Programs,GEORGES GREEK CAFE PINE,Eating Places Restaurants,6/3/2019,23.38
13774,2019,12,DEPT OF EDUCATION,Special Needs Programs,STARBUCKS STORE 27432,Fast Food Restaurants,6/3/2019,5.95
13775,2019,12,DEPT OF EDUCATION,Special Needs Programs,REDNERS MKTS #13,Grocery Stores Supermarkets,5/31/2019,39.06
13776,2019,12,DEPT OF EDUCATION,Special Needs Programs,NCS*GED EXAM,Schools Educational Svc-Not Elsewhere Classified,5/29/2019,720.0
13777,2019,12,DEPT OF EDUCATION,Special Needs Programs,AMERICAN AIR0017372038119,Airline,6/17/2019,414.59
13778,2019,12,DEPT OF EDUCATION,Special Needs Programs,SHOPRITE CHRSTNLNDG S1,Grocery Stores Supermarkets,6/13/2019,119.33
13779,2019,12,DEPT OF EDUCATION,Special Needs Programs,RESTAURANT STORE - 131,Commercial Equipment Not Elsewhere Classified,6/12/2019,390.29
13780,2019,12,DEPT OF EDUCATION,Special Needs Programs,GRAINGER,Industrial Supplies Not Elsewhere Classified,6/4/2019,126.72
13781,2019,12,DEPT OF EDUCATION,Special Needs Programs,UBER TRIP,Travel,6/5/2019,17.09
13782,2019,12,DEPT OF EDUCATION,Special Needs Programs,UBER TRIP,Travel,6/5/2019,3.0
13783,2019,12,DEPT OF EDUCATION,Special Needs Programs,LB AQUARIUM And CONV CTR,Eating Places Restaurants,6/4/2019,5.79
13784,2019,12,DEPT OF EDUCATION,Special Needs Programs,GAUCHO GRILL LONG,Eating Places Restaurants,6/4/2019,26.05
13785,2019,12,DEPT OF EDUCATION,Special Needs Programs,AWL*PEARSON EDUCATION,Books Periodicals And Newspapers,5/31/2019,2085.5
13786,2019,12,DEPT OF EDUCATION,Special Needs Programs,WALKTHROUGH MARKET B,Eating Places Restaurants,6/2/2019,8.91
13787,2019,12,DEPT OF EDUCATION,Special Needs Programs,UBER TRIP,Travel,6/2/2019,18.42
13788,2019,12,DEPT OF EDUCATION,Special Needs Programs,UBER TRIP,Travel,6/2/2019,3.0
13789,2019,12,DEPT OF EDUCATION,Special Needs Programs,AMERICAN AIR0010262045156,Airline,6/1/2019,30.0
13790,2019,12,DEPT OF EDUCATION,Special Needs Programs,TEQUILA JACK'S,Eating Places Restaurants,6/1/2019,33.47
13791,2019,12,DEPT OF EDUCATION,Special Needs Programs,ISLANDS RESTAURANT 04,Eating Places Restaurants,6/2/2019,16.09
13792,2019,12,DEPT OF EDUCATION,Special Needs Programs,Q SMOKEHOUSE,Eating Places Restaurants,6/2/2019,14.33
13793,2019,12,DEPT OF EDUCATION,ADVISORY COUNCIL,COMCAST,Cable Satellite Other Pay Television Radio Svcs,5/28/2019,117.24
